Sigma,Gamma,Time_to_95_percent_healing
0.0165,0.02,1085000.0
0.0165,0.021,1085000.0
0.0165,0.022000000000000002,1084500.0
0.0165,0.023000000000000003,1084500.0
0.0165,0.024,1084500.0
0.0165,0.025,1084500.0
0.017,0.005,1092000.0
0.017,0.006,1090500.0
0.017,0.007,1090000.0
0.017,0.008,1089000.0
0.017,0.009000000000000001,1088500.0
0.017,0.01,1088000.0
0.017,0.011,1087500.0
0.017,0.012,1087000.0
0.017,0.013000000000000001,1086500.0
0.017,0.014000000000000002,1086500.0
0.017,0.015,1086000.0
0.017,0.016,1085500.0
0.017,0.017,1085500.0
0.017,0.018000000000000002,1085500.0
0.017,0.019,1085000.0
0.017,0.02,1085000.0
0.017,0.021,1084500.0
0.017,0.022000000000000002,1084500.0
0.017,0.023000000000000003,1084500.0
0.017,0.024,1084500.0
0.017,0.025,1084000.0
0.0175,0.005,1092000.0
0.0175,0.006,1090500.0
0.0175,0.007,1089500.0
0.0175,0.008,1089000.0
0.0175,0.009000000000000001,1088000.0
0.0175,0.01,1087500.0
0.0175,0.011,1087000.0
0.0175,0.012,1087000.0
0.0175,0.013000000000000001,1086500.0
0.0175,0.014000000000000002,1086000.0
0.0175,0.015,1086000.0
0.0175,0.016,1085500.0
0.0175,0.017,1085500.0
0.0175,0.018000000000000002,1085000.0
0.0175,0.019,1085000.0
0.0175,0.02,1084500.0
0.0175,0.021,1084500.0
0.0175,0.022000000000000002,1084500.0
0.0175,0.023000000000000003,1084000.0
0.0175,0.024,1084000.0
0.0175,0.025,1084000.0
0.018000000000000002,0.005,1091500.0
0.018000000000000002,0.006,1090500.0
0.018000000000000002,0.007,1089500.0
0.018000000000000002,0.008,1088500.0
0.018000000000000002,0.009000000000000001,1088000.0
0.018000000000000002,0.01,1087500.0
0.018000000000000002,0.011,1087000.0
0.018000000000000002,0.012,1086500.0
0.018000000000000002,0.013000000000000001,1086500.0
0.018000000000000002,0.014000000000000002,1086000.0
0.018000000000000002,0.015,1085500.0
0.018000000000000002,0.016,1085500.0
0.018000000000000002,0.017,1085000.0
0.018000000000000002,0.018000000000000002,1085000.0
0.018000000000000002,0.019,1084500.0
0.018000000000000002,0.02,1084500.0
0.018000000000000002,0.021,1084500.0
0.018000000000000002,0.022000000000000002,1084000.0
0.018000000000000002,0.023000000000000003,1084000.0
0.018000000000000002,0.024,1084000.0
0.018000000000000002,0.025,1084000.0
0.018500000000000003,0.005,1091500.0
0.018500000000000003,0.006,1090000.0
0.018500000000000003,0.007,1089500.0
0.018500000000000003,0.008,1088500.0
0.018500000000000003,0.009000000000000001,1088000.0
0.018500000000000003,0.01,1087500.0
0.018500000000000003,0.011,1087000.0
0.018500000000000003,0.012,1086500.0
0.018500000000000003,0.013000000000000001,1086000.0
0.018500000000000003,0.014000000000000002,1086000.0
0.018500000000000003,0.015,1085500.0
0.018500000000000003,0.016,1085000.0
0.018500000000000003,0.017,1085000.0
0.018500000000000003,0.018000000000000002,1084500.0
0.018500000000000003,0.019,1084500.0
0.018500000000000003,0.02,1084500.0
0.018500000000000003,0.021,1084000.0
0.018500000000000003,0.022000000000000002,1084000.0
0.018500000000000003,0.023000000000000003,1084000.0
0.018500000000000003,0.024,1083500.0
0.018500000000000003,0.025,1083500.0
0.019000000000000003,0.005,1091500.0
0.019000000000000003,0.006,1090000.0
0.019000000000000003,0.007,1089000.0
0.019000000000000003,0.008,1088500.0
0.019000000000000003,0.009000000000000001,1087500.0
0.019000000000000003,0.01,1087000.0
0.019000000000000003,0.011,1086500.0
0.019000000000000003,0.012,1086000.0
0.019000000000000003,0.013000000000000001,1086000.0
0.019000000000000003,0.014000000000000002,1085500.0
0.019000000000000003,0.015,1085500.0
0.019000000000000003,0.016,1085000.0
0.019000000000000003,0.017,1084500.0
0.019000000000000003,0.018000000000000002,1084500.0
0.019000000000000003,0.019,1084500.0
0.019000000000000003,0.02,1084000.0
0.019000000000000003,0.021,1084000.0
0.019000000000000003,0.022000000000000002,1084000.0
0.019000000000000003,0.023000000000000003,1083500.0
0.019000000000000003,0.024,1083500.0
0.019000000000000003,0.025,1083500.0
0.019500000000000003,0.005,1091000.0
0.019500000000000003,0.006,1090000.0
0.019500000000000003,0.007,1089000.0
0.019500000000000003,0.008,1088000.0
0.019500000000000003,0.009000000000000001,1087500.0
0.019500000000000003,0.01,1087000.0
0.019500000000000003,0.011,1086500.0
0.019500000000000003,0.012,1086000.0
0.019500000000000003,0.013000000000000001,1085500.0
0.019500000000000003,0.014000000000000002,1085500.0
0.019500000000000003,0.015,1085000.0
0.019500000000000003,0.016,1085000.0
0.019500000000000003,0.017,1084500.0
0.019500000000000003,0.018000000000000002,1084500.0
0.019500000000000003,0.019,1084000.0
0.019500000000000003,0.02,1084000.0
0.019500000000000003,0.021,1083500.0
0.019500000000000003,0.022000000000000002,1083500.0
0.019500000000000003,0.023000000000000003,1083500.0
0.019500000000000003,0.024,1083500.0
0.019500000000000003,0.025,1083000.0
