Time (seconds),β = 0 (%),β = π/8 (%),β = π/4 (%),β = π/2 (%)
910000.0,56.86185966950199,55.141675055572534,53.95576395279856,58.859763329833015
945000.0,67.27530403613164,57.515828626919806,54.93165243450206,59.94573668502735
980000.0,75.36699329273246,59.77971311522635,55.98987613549609,60.80401002180257
1015000.0,85.4922118784186,62.20856545780785,57.04764610231465,61.653982438062904
1050000.0,97.91470688121422,64.6771886047573,58.050627282851366,62.62021668564248
1085000.0,100.0,66.75945725927235,59.002713591636855,63.65397504944236
1120000.0,100.0,68.89588269358006,59.99997273647423,64.41379230431878
1155000.0,100.0,71.36158510120396,61.02963199321187,65.26909790728872
1190000.0,100.0,73.29044655905369,61.92377911819459,66.24201097594504
1225000.0,100.0,75.26064910602976,62.871102755516986,67.1504239753039
1260000.0,100.0,77.3746351268037,63.82574254598525,67.90570332255628
1295000.0,100.0,79.46532600449306,64.78081449463717,68.7539418126876
1330000.0,100.0,81.27960791824677,65.62187282023288,69.69098719898732
1365000.0,100.0,83.06606466021545,66.5276333002584,70.53577783971271
1400000.0,100.0,84.88142610738292,67.44876396616391,71.26848095720906
1435000.0,100.0,86.74610944052887,68.3390824389653,72.0825679659905
1470000.0,100.0,88.23689535713736,69.16474707180757,72.95063892687482
1505000.0,100.0,89.78286078118333,70.01918300334276,73.77252046596776
1540000.0,100.0,91.38657255152908,70.90256870579921,74.47131861241981
1575000.0,100.0,92.88965559335305,71.76024678948141,75.24748773792386
1610000.0,100.0,94.03915993797881,72.55641354302789,76.06993579798157
1645000.0,100.0,95.17025492050459,73.36714040456191,76.88626265126652
1680000.0,100.0,96.235145514038,74.21252217956001,77.57384057211169
1715000.0,100.0,97.30216111367615,75.05303671548155,78.31146717106284
1750000.0,100.0,98.15223362146904,75.79979535144106,79.09621896024534
1785000.0,100.0,98.76040527587377,76.57503830399955,79.86209745517459
1820000.0,100.0,99.30876631491364,77.37957292895007,80.5937008447997
1855000.0,100.0,99.76922218939029,78.16425139180696,81.28865934063678
1890000.0,100.0,99.9358137138246,78.92215710885026,82.04203319855048
1925000.0,100.0,100.0,79.67692899654,82.7548394448654
1960000.0,100.0,100.0,80.42137297680225,83.5400662668948
1995000.0,100.0,100.0,81.17736921619134,84.19013656561935
2030000.0,100.0,100.0,81.96235022542787,84.90132802402397
2065000.0,100.0,100.0,82.66598609783061,85.57266643158552
2100000.0,100.0,100.0,83.38230620953473,86.29511992273291
2135000.0,100.0,100.0,84.1149557670166,87.01899817055899
2170000.0,100.0,100.0,84.84004817831315,87.67730377867123
2205000.0,100.0,100.0,85.56936926866491,88.31270956881065
2240000.0,100.0,100.0,86.26306638280876,88.97282367531056
2275000.0,100.0,100.0,86.92696454540607,89.69444035481679
2310000.0,100.0,100.0,87.60691717436718,90.37012616797352
2345000.0,100.0,100.0,88.300482036129,90.95017424234975
2380000.0,100.0,100.0,88.95698980474482,91.54735461485353
2415000.0,100.0,100.0,89.5780658498222,92.19763933861627
2450000.0,100.0,100.0,90.18872950255886,92.90120084857935
2485000.0,100.0,100.0,90.7922003928576,93.42351841125306
2520000.0,100.0,100.0,91.44206245337048,93.95241436361805
2555000.0,100.0,100.0,92.06035413306257,94.52143793312128
2590000.0,100.0,100.0,92.62511721874192,95.04249964977801
2625000.0,100.0,100.0,93.20439102019228,95.60171233285108
2660000.0,100.0,100.0,93.78283576500031,95.93090268174448
2695000.0,100.0,100.0,94.41918397474247,96.25269346753319
2730000.0,100.0,100.0,94.97532757920906,96.60206728396527
2765000.0,100.0,100.0,95.4982960763782,96.98206858321343
2800000.0,100.0,100.0,96.00158298967031,97.3341355214154
2835000.0,100.0,100.0,96.55349548388294,97.61528061800779
2870000.0,100.0,100.0,97.10186715442684,97.91969668574396
2905000.0,100.0,100.0,97.5072953426825,98.25004824001162
2940000.0,100.0,100.0,97.9160328219603,98.59251548544064
2975000.0,100.0,100.0,98.33319258948248,98.82733195936335
3010000.0,100.0,100.0,98.6882484337079,99.08136659117275
3045000.0,100.0,100.0,98.95644500053689,99.35687183645229
3080000.0,100.0,100.0,99.18314579558822,99.58439250592536
3115000.0,100.0,100.0,99.39299430454935,99.75721074292397
3150000.0,100.0,100.0,99.59707900557494,99.94307970025899
3185000.0,100.0,100.0,99.72139680034205,100.0
3220000.0,100.0,100.0,99.85583573483352,100.0
3255000.0,100.0,100.0,99.95592654994513,100.0
3290000.0,100.0,100.0,99.99230765087265,100.0
3325000.0,100.0,100.0,100.0,100.0
3360000.0,100.0,100.0,100.0,100.0
3395000.0,100.0,100.0,100.0,100.0
3430000.0,100.0,100.0,100.0,100.0
3465000.0,100.0,100.0,100.0,100.0
3500000.0,100.0,100.0,100.0,100.0
