Time (seconds),σ = 0.01 (%),σ = 0.015 (%),σ = 0.02 (%),σ = 0.025 (%)
675000.0,0.7458016926107813,2.636888784516399,2.5545256378382977,2.449075058271304
687500.0,0.923944373172414,2.9878893858714153,3.1478425084936648,2.9483198331798124
700000.0,1.1360824387236956,3.387300536428281,3.850966268207681,3.538201824724716
712500.0,1.387117713470043,3.8332757008081106,4.67917907576687,4.231578062535087
725000.0,1.6824364182812301,4.172322129125915,5.649210695700884,5.042102985211935
737500.0,2.027937453612616,4.519860435177709,6.779321713461011,5.984670787436733
750000.0,2.4300624837320317,4.91203015693159,8.08939387504828,7.075491087722381
762500.0,2.8958283102558435,5.366206162174583,9.60102955388841,8.332172629337101
775000.0,3.432862092642164,5.889824408442078,11.337662661133942,9.773816799400072
787500.0,4.049440042367203,6.490953133194186,13.293751518525903,11.42112296428371
800000.0,4.754530284706848,7.178334655631706,15.238172113303428,13.296507858881013
812500.0,5.557840645714574,7.961431986285278,16.686385125563422,15.42424155461071
825000.0,6.469872179812719,8.850481031395889,18.218030231433172,17.830602898340175
837500.0,7.5019793022882535,9.856549230604452,19.93679097220365,20.544057808864608
850000.0,8.666437426508988,10.991601503758618,21.797112476359942,23.595464506669053
862500.0,9.97651902181661,12.268574399545253,23.31712565023231,26.99700254823356
875000.0,11.44657899650402,13.701459327796409,24.62813738815266,30.55685309029428
887500.0,13.092150259801494,15.305395708172792,26.03557216173745,33.05066502496815
900000.0,14.930050212555102,17.096774766257038,27.606621345692727,35.56831412194364
912500.0,16.978498739254533,19.093354535417436,29.356836769859594,38.33412114504352
925000.0,19.25724800093026,21.314386356466578,31.303076514825445,41.40024922039014
937500.0,21.787723932568138,23.780752781187086,33.46362371105782,44.617357726756424
950000.0,24.593178803308835,26.515116254163924,35.858315621920106,47.056478841649316
962500.0,27.698853483338816,29.542077251093566,38.50868143836039,49.30915731757661
975000.0,31.132147180595616,32.888339693373524,41.43808662322483,51.743128788282824
987500.0,34.92279141476803,36.58288048861693,44.67188091612115,54.42799008093008
1000000.0,39.10302403155194,40.65711910717849,48.23754636094014,57.38646649893012
1012500.0,43.70775843815986,45.145082499470675,52.16484123671579,60.64317693475082
1025000.0,48.774743538306545,50.083560949949955,56.48593606766761,64.22473575640609
1037500.0,54.34471202251985,55.51225258813886,61.23553979016669,68.1598514699975
1050000.0,60.46152017201549,61.47389964264325,66.45101889937503,72.47942225480266
1062500.0,67.17229306961688,68.01442999023752,72.17252161103899,77.21663748752982
1075000.0,74.52760713702796,75.18313512337572,78.44313449555817,82.40710781516815
1087500.0,82.58176859595736,83.03294166149529,85.3091218043027,88.0890655152945
1100000.0,91.16312273774732,91.39580468062213,92.61143517050442,94.11183689497436
1112500.0,98.7179908339382,98.7529767766656,98.94812744689213,99.18606665861647
1125000.0,99.87900256284593,99.88252738725235,99.90452413142576,99.93361111080317
1137500.0,100.0,100.0,100.0,100.0
1150000.0,100.0,100.0,100.0,100.0
1162500.0,100.0,100.0,100.0,100.0
1175000.0,100.0,100.0,100.0,100.0
1187500.0,100.0,100.0,100.0,100.0
1200000.0,100.0,100.0,100.0,100.0
1212500.0,100.0,100.0,100.0,100.0
1225000.0,100.0,100.0,100.0,100.0
1237500.0,100.0,100.0,100.0,100.0
1250000.0,100.0,100.0,100.0,100.0
