Sigma,Gamma,Beta,Healing_Time,Final_Healing_Percentage
0.01,0.034999999999999996,1.0995574287564276,2840100.0,95.0062390955874
0.01,0.034999999999999996,1.2566370614359172,2862000.0,95.00741032051735
0.01,0.034999999999999996,1.413716694115407,2827200.0,95.00430091954509
0.01,0.034999999999999996,1.5707963267948966,2846100.0,95.00598212068353
0.01,0.04,0.0,1082400.0,95.02859403728024
0.01,0.04,0.15707963267948966,1256700.0,95.01654823473727
0.01,0.04,0.3141592653589793,1554000.0,95.00283017582576
0.01,0.04,0.47123889803846897,1867800.0,95.0040674214392
0.01,0.04,0.6283185307179586,2361900.0,95.00158516051555
0.01,0.04,0.7853981633974483,2932200.0,95.00037662139376
0.01,0.04,0.9424777960769379,2938200.0,95.0002049239746
0.01,0.04,1.0995574287564276,2839500.0,95.003120955211
0.01,0.04,1.2566370614359172,2861400.0,95.00407556628384
0.01,0.04,1.413716694115407,2826600.0,95.00260411647716
0.01,0.04,1.5707963267948966,2845200.0,95.0050571897245
0.01,0.045,0.0,1082100.0,95.01225886184294
0.01,0.045,0.15707963267948966,1256400.0,95.01169135470704
0.01,0.045,0.3141592653589793,1554000.0,95.01541040909713
0.01,0.045,0.47123889803846897,1867500.0,95.00300648848543
0.01,0.045,0.6283185307179586,2361600.0,95.00306361483366
0.01,0.045,0.7853981633974483,2931300.0,95.00151365383658
0.01,0.045,0.9424777960769379,2937900.0,95.00223408314024
0.01,0.045,1.0995574287564276,2839200.0,95.00468567637509
0.01,0.045,1.2566370614359172,2861100.0,95.00645244302677
0.01,0.045,1.413716694115407,2826300.0,95.00604951449081
0.01,0.045,1.5707963267948966,2844300.0,95.00098767878468
0.01,0.049999999999999996,0.0,1082100.0,95.15438119979913
0.01,0.049999999999999996,0.15707963267948966,1256100.0,95.00463544497781
0.01,0.049999999999999996,0.3141592653589793,1553700.0,95.01030695353046
0.01,0.049999999999999996,0.47123889803846897,1867200.0,95.00044072628016
0.01,0.049999999999999996,0.6283185307179586,2361300.0,95.00363916857857
0.01,0.049999999999999996,0.7853981633974483,2930400.0,95.00048965996292
0.01,0.049999999999999996,0.9424777960769379,2937300.0,95.00005190778353
0.01,0.049999999999999996,1.0995574287564276,2838900.0,95.00495573764753
0.01,0.049999999999999996,1.2566370614359172,2860800.0,95.0071184856144
0.01,0.049999999999999996,1.413716694115407,2826000.0,95.00759684764033
0.01,0.049999999999999996,1.5707963267948966,2843700.0,95.00058704265314
0.015,0.005,0.0,1091400.0,95.10738830971597
0.015,0.005,0.15707963267948966,1269000.0,95.01680755278133
0.015,0.005,0.3141592653589793,1555800.0,95.00829090290546
0.015,0.005,0.47123889803846897,1883100.0,95.00582366132089
0.015,0.005,0.6283185307179586,2295600.0,95.00379286468845
0.015,0.005,0.7853981633974483,2899500.0,95.0026814486097
0.015,0.005,0.9424777960769379,2835000.0,95.00264336056492
0.015,0.005,1.0995574287564276,2840100.0,95.00002306444122
0.015,0.005,1.2566370614359172,2845200.0,95.00215263161154
0.015,0.005,1.413716694115407,2833500.0,95.00335371512499
0.015,0.005,1.5707963267948966,2862600.0,95.00469995490035
0.015,0.01,0.0,1087200.0,95.04937356239024
0.015,0.01,0.15707963267948966,1264800.0,95.01767549192897
0.015,0.01,0.3141592653589793,1550700.0,95.00487727776623
0.015,0.01,0.47123889803846897,1877400.0,95.00655713552715
0.015,0.01,0.6283185307179586,2288400.0,95.00251200690852
0.015,0.01,0.7853981633974483,2889900.0,95.00358416286645
0.015,0.01,0.9424777960769379,2826900.0,95.00012618328485
0.015,0.01,1.0995574287564276,2832300.0,95.00558123743909
0.015,0.01,1.2566370614359172,2836800.0,95.00043317037573
0.015,0.01,1.413716694115407,2824800.0,95.00491484688091
0.015,0.01,1.5707963267948966,2851500.0,95.00103319806675
0.015,0.015,0.0,1085400.0,95.07449467983494
0.015,0.015,0.15707963267948966,1262700.0,95.00292335443491
0.015,0.015,0.3141592653589793,1548600.0,95.01206783866327
0.015,0.015,0.47123889803846897,1874700.0,95.00335385249468
0.015,0.015,0.6283185307179586,2285100.0,95.00136268668827
0.015,0.015,0.7853981633974483,2885100.0,95.00414287387912
0.015,0.015,0.9424777960769379,2823300.0,95.001261952394
0.015,0.015,1.0995574287564276,2828400.0,95.00131689267621
0.015,0.015,1.2566370614359172,2833200.0,95.00359885062345
0.015,0.015,1.413716694115407,2820900.0,95.00520713746234
0.015,0.015,1.5707963267948966,2846700.0,95.00268397584158
0.015,0.02,0.0,1084200.0,95.01234646647936
0.015,0.02,0.15707963267948966,1261800.0,95.01972080174892
0.015,0.02,0.3141592653589793,1547100.0,95.00608128669448
0.015,0.02,0.47123889803846897,1873200.0,95.00486728273555
0.015,0.02,0.6283185307179586,2283300.0,95.00363858140132
0.015,0.02,0.7853981633974483,2881800.0,95.00051343245505
0.015,0.02,0.9424777960769379,2821200.0,95.00337975348346
0.015,0.02,1.0995574287564276,2826300.0,95.00296353805442
0.015,0.02,1.2566370614359172,2830800.0,95.0002040911142
0.015,0.02,1.413716694115407,2818500.0,95.00328002491891
0.015,0.02,1.5707963267948966,2843700.0,95.00061962129804
0.015,0.025,0.0,1083600.0,95.10234272401564
0.015,0.025,0.15707963267948966,1260900.0,95.01048026930104
0.015,0.025,0.3141592653589793,1546200.0,95.00694903064206
0.015,0.025,0.47123889803846897,1872000.0,95.000337526723
0.015,0.025,0.6283185307179586,2281800.0,95.00094160098736
0.015,0.025,0.7853981633974483,2879700.0,95.00215691738903
0.015,0.025,0.9424777960769379,2819700.0,95.00392628518766
0.015,0.025,1.0995574287564276,2824800.0,95.00263794488805
0.015,0.025,1.2566370614359172,2829300.0,95.00038131560812
0.015,0.025,1.413716694115407,2817000.0,95.00458625047564
0.015,0.025,1.5707963267948966,2841900.0,95.00351065892924
0.015,0.030000000000000002,0.0,1083000.0,95.06996589086715
